Log_Nr,Name,NORD_CHTOP,OST_CHTOPO,LV_03_E,LV_03_N
1,VonRoll PH,46.95292,7.42253,2598774.232,1200204.388
2,Europaplatz,46.94333,7.40633,2597540.582,1199138.657
3,Rathausgasse II: ca. Höhe Taube (Bar),46.94851,7.44925,2600808.309,1199714.029
4,Uettligen Umland,46.98041,7.38733,2596096.727,1203261.664
5,Sportplatz/Familiengarten vor Egelsee,46.94564,7.46666,2602133.836,1199395.28
6,Bümpliz Fröschmattstrasse,46.9402,7.38371,2595818.116,1198791.672
7,Kreuzung Brunmatt- Schwarztorstrasse,46.9448,7.42713,2599124.257,1199301.616
8,Wankdorf ESP,46.968,7.46248,2601814.872,1201880.959
9,Bremgartenfriedhof,46.95029,7.42015,2598592.986,1199912.051
10,"Länggasse, Neufeldstrasse 135",46.95791,7.4354,2599753.97,1200758.998
11,Viererfeld Veloweg,46.96249,7.43982,2600090.402,1201268.152
12,Egelsee Süd I: Gantrischstrasse 52,46.94701,7.47194,2602535.759,1199547.736
13,Egelsee,46.94471,7.46442,2601963.33,1199291.835
14,Helvetiaplatz,46.94381,7.44885,2600777.919,1199191.523
15,Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino,46.94973,7.44418,2600422.324,1199849.622
16,Bubenbergplatz,46.94729,7.43849,2599989.153,1199578.356
17,Rosengarten,46.95189,7.46019,2601641.069,1200089.947
18,Aegertenstrasse 53,46.93861,7.44738,2600666.056,1198613.424
19,Galgenfeld Neubausiedlung,46.95065,7.46992,2602381.817,1199952.336
20,Umland Köniz,46.903399,7.394688,2596651.653,1194699.961
21,Gaswerkareal Industrie EWB,46.9395,7.44213,2600266.299,1198712.34
22,Matte Mühleplatz,46.94687,7.4562,2601337.449,1199531.798
23,"Ostermundigen, Ahornstr 16",46.95575,7.49872,2604573.834,1200520.558
25,Köniz Neubausiedlung,46.92781,7.42031,2598604.552,1197412.935
26,Inselspital,46.94719,7.42567,2599013.147,1199567.332
28,Pärkli bei Eigerplatz,46.94192,7.43097,2599416.579,1198981.405
29,"Paul Klee, Senke Familienspaziergang",46.94861,7.47124,2602482.395,1199725.587
30,Galgenfeld Industrie,46.95555,7.47194,2602535.368,1200497.134
31,Köniz Aussenquartier,46.92041,7.40995,2597815.234,1196590.521
32,Bremgartenwald,46.95739,7.42128,2598679.194,1200701.343
33,Dählhölzli-Wald,46.93798,7.45656,2601365.07,1198543.497
34,Kasernenareal,46.95696,7.45802,2601475.745,1200653.542
35,Egelsee Süd II: Bürglenstrasse 28,46.94518,7.46887,2602302.111,1199344.202
36,Viktoriarain,46.95519,7.44772,2600691.754,1200456.637
37,"Lorraine, Steckweg 15",46.95896,7.44514,2600495.334,1200875.734
38,Spiegel,46.92607,7.43739,2599905.342,1197219.32
39,Weyermannshaus Industrie,46.9489,7.40134,2597160.96,1199758.05
40,Rathausgasse I: St. Peter & Paul Kirche,46.94858,7.45193,2601012.336,1199721.84
41,Monbijou-Park,46.94187,7.43462,2599694.486,1198975.823
42,Gerechtigkeitsgasse 55,46.94813,7.45351,2601132.629,1199671.833
45,Zytglogge,46.94828,7.44741,2600668.233,1199688.444
46,Autobahnausfahrt Wankdorf,46.96717,7.46968,2602362.841,1201788.872
47,Waisenhausplatz III (Mitte): Neben Brunnen,46.94984,7.44418,2600422.324,1199861.851
48,Viererfeld,46.9651,7.43821,2599967.871,1201558.309
50,Kreuzung Familienspaziergang / Laubeggstrasse,46.94644,7.46833,2602260.947,1199484.262
51,Bümpliz Stöckacker,46.94302,7.39587,2596744.17,1199104.585
52,Umland Bümpliz,46.93362,7.36586,2594458.304,1198061.294
53,"Breitenrain, Waffenweg",46.96174,7.45191,2601010.583,1201184.848
54,Waisenhausplatz IV (Pocketpark): vor Starbucks,46.94879,7.44376,2600390.356,1199745.12
55,Bollwerk (Strasseninsel),46.95152,7.44077,2600162.725,1200048.608
57,Eigerplatz,46.94077,7.43133,2599443.976,1198853.556
58,Murifeld (vor Wohnturm 3),46.93919,7.48007,2603155.159,1198678.67
59,Schlossmatte Familiengärten,46.94211,7.41689,2598344.549,1199002.742
60,Roschistrasse,46.93508,7.43887,2600018.07,1198220.963
61,Westside Center,46.94555,7.37478,2595138.665,1199386.958
62,Felsenhaldenweg,46.974,7.44116,2600192.364,1202547.733
63,"Wylergut, Jaunweg 11",46.96766,7.44922,2600805.764,1201842.951
65,Umland Bolligen,46.96682,7.50376,2604956.469,1201751.522
